V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards
87,10966,77599,1198,802741,193068,2463,25519,5072,654,212737,1692497,29072,11403947,2771145,73675,577880,105057,15733,0,-90
88,13213,108947,1724,884433,233499,3442,34772,6807,953,240644,1938161,34703,12226952,3032180,98742,802752,137147,23504,0,-90
89,15392,133499,2222,954024,264527,4695,46294,8992,1398,269974,2149737,41322,12710455,3562234,139422,1030398,183392,36176,10,-99
90,10256,96620,1655,624820,177930,3929,37775,7368,1290,177032,1399298,27315,8172032,2338307,96949,680446,125454,25764,0,-90
91,11178,110647,1900,725728,217313,4947,46175,8682,1728,196432,1292621,25423,10182133,2431138,87906,601438,116160,22856,0,-90
92,12631,106143,1993,749761,223300,5195,44737,9115,1832,230935,1733978,35037,11527607,2947865,137866,899947,165786,43219,0,-90
93,14776,124521,2424,872493,255936,6816,54701,11458,2607,259919,2019289,43398,12304817,3346984,202028,1078518,224760,70175,0,-90
94,17012,146197,2979,959518,293537,9583,66115,15078,4041,286589,2224028,50784,12755166,3691033,271256,1190537,287513,99744,0,-90
95,19135,165533,3617,1017512,328562,13178,76278,19671,5976,313629,2387400,58824,13017160,4014220,361076,1267055,364274,141770,10,-99
96,12012,108733,2395,641463,203109,10263,48040,14818,5086,204499,1569494,39540,8349414,2599788,250287,832413,249488,100737,10,-99
97,7701,72770,1598,425553,134871,7208,31667,10181,3718,132543,992498,24681,5633806,1690500,154863,517965,154618,62634,0,-90
98,8321,81441,1770,491081,159641,8403,37524,11232,4546,162025,1054445,23512,8441639,2155726,131273,483615,134259,54347,0,-90
99,9878,82889,1850,578588,180159,8333,36612,11191,4594,197086,1575728,33602,10146732,2633118,207634,819207,189922,106174,10,-99
100,7349,69474,1345,489720,130255,5967,29978,7806,3815,130225,1053765,22754,6647955,1728793,147527,553982,131753,77928,10,-99
101,4877,48547,918,339686,89208,4247,20902,5377,2868,87140,655672,14139,4595964,1109783,91135,345593,82102,48085,0,-90
102,5368,56173,1022,397638,107615,4953,24901,5951,3507,128842,687872,13743,7730873,1413589,77963,341723,77736,40926,0,-90
103,7162,56570,1078,508816,120628,4925,26405,6161,3510,170541,1347663,25493,9605101,2165147,130658,577236,117603,81116,10,-99
104,6235,58166,995,461825,104326,3723,21265,4762,2912,113264,919434,17569,6311212,1451048,92657,411518,82027,59125,0,-90
105,6926,72344,1184,551844,133961,4722,27595,5647,3930,143956,792753,15141,8719236,1417969,79432,401885,77414,50571,0,-90
106,8519,68497,1213,614787,135468,4863,29735,6006,4120,181822,1407952,26772,10190996,2168425,129056,644165,116868,91316,10,-99
107,6722,61485,1050,493818,105525,3683,23716,4717,3298,121078,957117,18276,6687764,1463268,92010,453265,81842,66712,10,-99
108,4526,43940,736,341686,75001,2639,17026,3326,2457,81892,594092,11452,4624253,932682,57129,286528,51504,40988,0,-90
109,5015,51488,827,400059,91674,3094,20464,3706,2998,124927,618494,11616,7744571,1178118,50473,295392,54012,34672,10,-99
110,4539,28926,481,368655,58851,1531,11439,2245,1377,86229,498649,9106,5234274,880001,38418,218815,39181,27465,10,-89
111,3203,22553,368,268871,44507,1105,8215,1596,1014,61125,324176,5831,3776492,577770,24254,145520,25836,17711,10,-89
112,2270,15041,242,196433,29879,711,5515,1060,665,46441,208385,3705,2933540,391155,15278,99182,17470,10887,10,-89
113,1711,9714,156,152221,20177,450,3748,715,416,37896,136636,2400,2447808,272191,9919,71025,12528,6936,0,-60
114,2124,12070,176,199986,27825,533,4756,853,509,83781,155112,2735,5677872,379205,9924,115941,19460,6085,0,-80
115,3909,13723,202,339443,35254,576,6703,1185,518,127513,388809,6967,8335642,1049069,23391,195921,37459,12439,10,-89
116,4531,16619,265,395426,48363,639,6996,1446,449,86074,290749,5109,5563447,791367,17688,136742,26559,9240,0,-70
117,5141,23250,335,481632,71013,857,9098,1770,618,123592,269e3,4770,8264778,782492,15730,173644,31131,8132,10,-89
118,4508,12741,199,395782,40371,471,6459,1264,316,84239,232194,4038,5525811,649555,13419,126545,23497,6188,10,-69
119,3134,10429,165,283631,32443,381,4738,947,230,59677,153354,2643,3944129,439399,9071,87766,16300,4246,10,-69
120,2218,7091,109,204846,22570,264,3305,666,159,45373,99473,1700,3031232,297856,5706,63739,11828,2509,0,-60
121,2634,8809,125,253767,30842,310,4234,797,193,98615,115523,1909,6800164,416115,6492,121815,20807,2348,0,-60
122,4680,10097,144,409570,38531,352,6567,1199,198,135683,291283,5311,8991989,1156635,19084,193280,37768,5706,10,-69
123,4858,12435,206,429044,53274,511,6895,1456,206,90426,217381,3975,5942986,863704,14079,133775,26934,4170,0,-70
124,5453,17387,261,517074,77225,684,8929,1787,283,126161,203340,3793,8487811,842675,13295,170459,31647,4040,10,-79
125,4618,9613,157,407532,43506,394,6338,1284,158,85726,175700,3203,5657070,683739,11390,124858,23838,3227,0,-60
126,5190,13652,204,492624,62172,538,8267,1581,218,124473,205493,3823,8345147,844631,13627,170857,31739,3701,10,-79
127,4539,9361,153,399953,42188,390,6290,1271,144,84619,167331,3091,5574807,684873,11462,123885,23850,3061,10,-69
128,3149,7541,123,286109,34209,324,4636,962,113,59844,109767,2020,3970791,454965,7321,85748,16293,1856,0,-60
129,3578,9557,142,340191,46951,391,5823,1123,139,107633,120180,2102,7351197,569442,8084,138527,24563,2085,10,-69
130,3848,5611,91,346582,28925,236,5019,975,85,74174,105618,1978,4996434,525115,7720,101208,19201,2106,10,-69
131,2747,4729,79,256950,25811,216,3772,772,80,52464,70333,1310,3546798,354412,5055,70268,13378,1276,0,-60
132,3130,6065,94,305464,36168,269,4753,914,102,102668,79362,1361,7096980,438613,5882,125762,21729,1629,0,-60
133,5083,6941,108,442771,41985,312,7012,1303,118,137604,203452,4121,9164469,1288300,19643,202083,40768,4285,0,-60
134,7291,12719,215,633371,81684,694,11164,2229,219,162275,352176,7180,10395402,2062902,32964,276765,59010,6842,0,-70
135,9339,22763,383,765824,140252,1278,16320,3420,374,182884,519851,10417,11131168,2513489,43119,374196,75764,9135,10,-79
136,6831,22689,399,543752,121854,1199,13714,3006,331,120757,379025,7578,7229389,1650964,29778,261698,51695,6210,10,-79
137,4525,17237,304,369070,84951,855,9832,2100,234,81702,241389,4799,4962170,1063365,19146,170410,33506,3781,10,-79
