V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards
1,0,9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-19
2,0,924,0,0,0,0,6,0,0,1616,94797,1364,307,1372,255,1,5,0,10,-19
3,56,3835,51,17,60,10,0,0,0,1190,70519,1014,235,1030,187,1,4,0,0,-10
4,70,5545,68,29,99,17,0,6,0,964,57226,804,195,845,157,1,4,1,10,-19
5,40,2769,39,14,53,8,6,0,0,834,50262,736,167,736,132,1,3,1,10,-19
6,34,2260,34,13,42,7,0,0,0,559,33103,479,107,485,87,1,1,1,10,-19
7,27,1535,24,9,30,6,0,6,0,356,21143,302,70,310,58,1,1,1,10,-19
8,18,992,16,7,22,6,0,6,0,229,13563,197,44,197,37,1,1,1,0,-10
9,23,1223,21,14,29,12,0,6,0,244,14731,218,48,215,40,1,1,1,10,-19
10,12,694,11,6,15,6,0,0,0,217,12637,183,45,176,34,1,1,1,10,-19
11,10,571,9,6,10,6,6,0,0,135,7970,118,27,112,21,1,1,1,0,-10
12,14,718,12,12,17,6,6,0,0,123,7359,103,27,108,22,1,1,1,10,-19
13,8,361,6,6,9,6,0,0,0,120,7007,96,23,104,22,1,1,1,0,-0
14,14,533,12,12,17,6,0,0,0,135,8189,120,25,122,24,1,1,1,0,-10
15,19,675,17,17,23,11,0,0,0,261,16480,246,60,245,43,1,1,1,10,-19
16,12,715,13,7,15,6,0,0,0,192,12261,186,45,181,32,1,1,1,0,-10
17,16,994,18,14,24,12,0,0,0,176,11215,168,35,176,27,1,1,1,0,-10
18,20,1078,20,18,26,17,0,0,6,484,27922,418,1542,1180,69,24,19,3,0,-10
19,35,1828,33,87,75,22,6,6,6,847,50003,710,2468,1974,140,34,24,1,0,-10
20,56,3260,52,193,154,29,12,12,5,1281,75188,1305,3018,3343,235,45,32,2,0,-10
21,87,5215,89,295,268,40,17,17,11,2342,118813,2052,13567,6952,955,212,99,17,10,-19
22,86,5188,83,613,325,29,11,8,0,1729,87827,1485,12201,5072,621,197,73,12,0,-20
23,107,7124,104,1130,493,36,18,12,0,1617,81773,1296,14359,4950,474,225,78,9,10,-29
24,65,3883,57,740,263,19,10,6,0,1486,69972,1094,21342,4850,353,315,84,10,10,-29
25,55,3146,44,1022,240,14,12,8,0,999,45852,709,16636,2920,221,251,55,6,0,-20
26,66,3994,58,1692,322,18,21,12,0,1137,44448,678,26946,3614,215,408,86,9,0,-20
27,81,4268,62,2385,375,21,32,19,0,4254,116010,1900,165709,14255,519,2402,479,19,10,-29
28,153,4975,78,7375,649,17,82,20,6,3329,87700,1384,132969,11205,403,1942,392,19,0,-30
29,192,6993,99,12993,1027,26,121,28,12,3292,78378,1169,140079,10631,349,2064,392,15,10,-39
30,126,3737,53,7404,559,14,83,17,0,4561,67717,1004,243513,12192,318,3515,625,12,10,-39
31,163,3046,42,11437,590,14,127,26,0,3308,44652,669,183481,8372,212,2669,463,7,0,-30
32,194,3877,52,18861,847,18,174,37,0,4694,43413,624,278587,10205,225,4537,655,9,10,-39
33,173,2070,33,13941,525,10,166,28,0,6375,38724,559,412547,12213,215,6864,924,11,0,-30
34,301,2982,46,30939,951,17,337,54,6,9829,43354,618,661090,17751,255,10747,1538,17,0,-30
35,490,3639,55,53169,1453,22,567,90,6,36770,95008,1318,2529638,58236,672,40599,6075,48,10,-49
36,1257,4091,54,114554,2631,21,1369,228,6,31337,72226,1011,2162745,48329,522,34847,5057,38,10,-59
37,1133,3264,43,109233,2385,20,1263,201,6,20958,45523,630,1444476,31741,334,22944,3375,25,0,-50
38,1268,4057,53,135038,3300,27,1575,235,12,48285,50052,667,3379465,64459,528,53073,7826,51,10,-59
39,1700,2343,32,157478,3068,18,1863,300,6,38989,44453,598,2704263,60038,536,44306,6615,60,0,-50
40,2148,3400,46,221750,5113,31,2681,410,12,52601,51167,654,3657454,80603,698,60657,8825,91,0,-50
41,2890,4210,55,261857,7050,43,3634,549,17,104638,114785,1594,7160468,227102,2844,135734,19850,302,0,-60
42,5041,7379,99,444041,14867,106,6768,1040,28,137261,198820,3085,9196239,405365,5391,198660,29248,582,10,-69
43,4945,8553,120,439917,18920,149,7089,1137,21,91355,143100,2225,6071386,293735,3827,136349,19992,425,10,-69
44,3403,6510,91,310739,14816,113,5120,813,20,63503,90463,1395,4257679,193544,2429,92418,13753,272,10,-69
45,2362,4215,59,220551,9997,76,3492,564,14,47482,59518,905,3212987,136742,1651,66917,10087,195,0,-60
46,2774,5249,69,270461,13855,94,4459,679,21,99177,73966,1050,6907656,223256,2834,123947,18416,266,0,-60
47,4775,6223,82,421082,19023,133,6781,1046,27,133822,179290,3041,9044689,569537,8146,196239,30511,810,0,-60
48,6986,11305,162,618685,38506,295,10819,1710,52,157354,304148,5392,10287104,978674,14430,266888,42893,2084,10,-69
49,5772,13093,205,497440,45956,388,9690,1680,75,103772,217248,3864,6697140,712945,10835,185041,29861,1428,10,-69
50,3879,9891,156,342390,35950,310,6955,1211,58,71093,137010,2400,4622904,460706,6828,122531,19756,886,0,-60
51,4327,12229,172,400147,48143,369,8532,1387,72,114898,150609,2498,7750297,592818,8248,167640,27417,956,10,-69
52,4150,7049,107,368910,30010,240,6205,1100,40,78823,132859,2295,5232187,539619,7828,123263,21073,824,10,-69
53,2929,5947,91,268805,26557,221,4608,847,33,56408,88370,1549,3773337,363852,5122,85820,14723,548,10,-69
54,2093,4083,65,196289,18667,149,3229,598,24,43359,57728,1006,2931311,245877,3347,62738,10778,377,10,-69
55,1598,2688,44,152106,12666,102,2347,438,18,35624,39375,666,2446189,173449,2227,48816,8145,260,0,-50
56,1989,3407,52,199856,17577,124,3122,541,26,81055,50471,811,5672773,257201,3393,97718,15765,356,0,-60
57,3748,4144,64,339170,23032,162,5103,874,33,121476,123510,2417,8326901,690136,10145,164665,29051,1632,0,-60
58,6011,7688,125,545425,46538,366,8688,1552,82,147507,209473,4153,9867871,1204840,18150,224577,42012,2780,0,-60
59,8102,13606,227,704231,82556,696,12962,2409,154,168252,316714,6425,10796116,1897273,28802,301719,58666,4667,10,-79
60,6237,13798,245,524952,89604,787,11029,2307,168,110701,231471,4608,7008515,1293670,20309,210756,40421,3640,10,-79
61,4143,10525,184,358011,65948,581,7915,1639,136,75270,147611,2920,4818613,825563,12645,139290,26295,2220,0,-70
62,4600,13090,210,417529,81633,684,9706,1859,168,118061,163742,3236,7871111,1042607,15745,180756,34775,2688,10,-79
63,4280,7644,133,375170,52181,453,6741,1400,107,80607,143352,2753,5306162,798743,12759,133067,26085,2465,0,-60
64,4842,11023,175,459243,72855,608,8803,1727,158,120424,166044,3313,8131290,899739,14275,177800,33184,2645,0,-70
65,6592,13648,223,550882,81002,730,11234,2176,194,152376,358658,7178,9783559,1836968,32358,281873,56825,5438,0,-70
66,8659,23376,390,707876,127370,1279,16541,3328,310,178002,618521,11815,10805520,2391448,47228,399558,78173,9009,0,-70
67,10653,40532,651,817150,180437,2012,23920,4773,507,205576,946348,17538,11685898,2769529,62179,549814,100912,13081,10,-99
68,7705,41221,684,571513,136523,1741,20165,4034,468,136175,688486,12661,7580020,1810322,42857,383170,69109,9175,0,-80
69,8465,54198,835,669413,168569,2186,25882,4756,624,164966,656664,12241,9839897,1902704,42464,383711,70644,8464,0,-90
70,10074,54606,915,711991,174270,2384,28340,5236,674,205307,1332779,23914,11323774,2519823,72511,621467,106209,17297,10,-99
71,7636,57366,921,549197,124458,2033,22878,4267,614,135997,911187,16504,7372048,1670457,51067,440026,73896,12272,10,-99
72,5091,41727,663,375831,86035,1467,16521,2998,456,90744,563668,10148,5027283,1070144,31966,279115,47155,7857,10,-89
73,3394,26377,414,259027,55710,933,10650,1938,297,64068,363590,6510,3659296,727759,20400,179998,30834,5276,0,-70
74,3849,32455,462,311507,70994,1097,12802,2189,374,112988,404212,7116,7182177,967525,22059,214618,38020,5008,10,-79
75,4047,18888,294,336840,48070,652,8121,1547,198,78605,350332,6161,4901146,756605,17655,158001,28452,3824,0,-70
76,4655,27083,388,421322,68558,860,10535,1898,264,107937,385315,6643,6989769,843367,18760,187181,33093,4018,0,-70
77,6074,32434,465,486162,76330,1e3,12631,2268,304,150872,834885,14621,9116648,1809860,39290,309497,58504,8617,0,-70
78,8336,52092,795,643239,123456,1631,18369,3450,486,184915,1428420,24667,10389493,2382924,58645,448846,81963,13851,0,-80
79,10689,85761,1337,771918,177974,2531,26794,4988,783,212637,1784824,31507,11333367,2760013,77253,615243,105524,19516,10,-99
80,7939,78324,1230,553300,135888,2166,22579,4218,701,139789,1173581,20906,7354159,1802367,53172,428403,72174,13494,10,-99
81,5236,54150,841,375301,93015,1530,16104,2938,500,93617,734540,13006,5050495,1166386,33449,273001,46074,8567,10,-89
82,3501,34346,525,259956,60615,978,10410,1896,324,65984,476070,8322,3681552,794902,21437,176595,30336,5710,10,-89
83,2450,22174,340,191637,40979,629,6726,1244,217,49553,311452,5404,2882298,545862,14049,118171,20441,3423,0,-70
84,2885,27542,382,239890,54573,747,8234,1429,262,103104,342587,5928,6720328,722915,15371,165028,28771,3769,0,-70
85,4963,30573,431,400473,63182,839,10435,1845,288,146131,862302,14714,8950418,1739991,36427,268106,52398,8487,10,-79
86,5231,36853,557,426671,80492,989,9700,2035,302,98451,638316,10866,5919742,1201861,26016,187797,36288,6381,10,-89
87,3653,28903,429,303089,61013,746,7045,1474,235,67943,398282,6733,4169582,755392,16340,124176,23679,3784,0,-70
88,4107,35673,481,358391,75770,882,8645,1677,286,114183,407743,6988,7465098,949908,17960,168679,32025,4135,10,-79
89,4111,19314,290,353031,47688,530,6252,1287,159,79409,362031,6289,5065281,746595,14854,123754,23984,3325,0,-70
90,4716,27827,391,436841,67805,714,8177,1590,223,115575,408482,6954,7559227,850316,16096,162833,30575,3731,0,-70
91,6358,33673,478,517004,76247,843,10354,2002,267,155434,867060,15107,9440724,1813251,35449,264649,54319,7785,0,-70
92,8630,53998,819,674636,123645,1433,15400,3137,434,187826,1447847,25066,10581708,2384207,53097,376874,74998,12120,10,-89
93,6926,62147,953,514022,114737,1460,13712,2963,431,124191,978656,17002,6902973,1581733,36363,262187,51271,8536,10,-89
94,4642,44874,678,352688,81204,1047,9846,2084,318,83688,608066,10518,4746729,1013684,22875,169659,33098,5099,0,-80
95,5127,52453,752,411408,98706,1234,11954,2353,384,126952,635493,10886,7851390,1291638,25598,205384,41213,5165,10,-89
96,4613,29674,451,373934,64327,752,7744,1673,205,87569,507664,8715,5296743,944445,19936,151407,30204,4493,10,-79
97,3250,22986,349,272007,47907,570,5670,1222,170,61741,329417,5598,3812454,617069,12956,103197,20240,2706,10,-79
98,2294,15291,231,198238,31949,379,3896,826,108,46660,212108,3603,2955720,418558,8199,73223,14300,1650,10,-69
99,1720,9886,150,153406,21588,241,2752,583,67,38012,138853,2326,2460581,290375,5312,55440,10645,1010,0,-60
100,2132,12279,170,201165,29733,287,3602,708,82,84033,157492,2726,5718464,401388,6294,103602,18243,1477,10,-69
101,2954,7325,115,264639,20068,188,3687,715,57,60132,136752,2344,4053378,363776,5876,76851,14431,1037,10,-69
102,2216,6127,92,209696,17895,168,2854,582,41,41249,89780,1528,2791716,243816,3766,52562,9627,644,10,-69
103,1535,4159,65,147963,12520,114,1980,393,27,34379,58427,963,2365710,167764,2450,42533,7335,413,10,-59
104,1259,2722,43,121268,8619,76,1571,301,20,29478,39460,642,2041084,119964,1642,35423,5837,258,10,-59
105,1071,1827,30,104011,6124,54,1304,237,13,23967,26710,417,1666824,85566,1109,28148,4517,167,0,-50
106,1337,2316,37,141285,8582,66,1771,298,19,51890,33515,470,3647688,130910,1415,58729,9415,184,0,-50
107,2435,2788,39,226073,11480,79,3001,507,23,103098,85685,1327,7154777,368658,4648,126442,20752,527,0,-60
108,4711,5274,74,433215,24251,173,6067,1044,41,134323,145064,2604,9181786,636993,8764,178187,29912,1493,10,-69
109,4820,6234,100,438372,29834,240,6356,1161,55,89206,103578,1835,6050604,460652,6134,122311,20714,998,0,-60
110,5395,8481,126,527059,44484,309,8189,1399,72,124726,103972,1734,8556556,496719,6488,161625,26251,886,10,-69
111,4564,4879,75,411038,25636,193,5982,1059,39,84342,90678,1593,5704917,467672,6558,118285,20210,786,10,-69
112,3142,4068,66,292594,22961,186,4416,812,31,59535,60567,1062,4048455,320196,4319,82534,14172,535,0,-60
113,3569,5216,79,347243,32399,228,5575,966,42,107441,70662,1160,7391503,400832,5311,135146,21883,602,10,-69
114,3843,3265,53,348932,20309,158,4889,868,28,73698,61163,1123,5018591,369900,5327,98654,16644,565,0,-60
115,4388,4709,78,432649,32426,239,6457,1088,44,107774,74645,1305,7421181,471627,6454,138121,23109,651,0,-60
116,5927,5971,98,509320,42384,313,8475,1448,56,141759,164317,3424,9354894,1148867,16641,227027,41282,2344,0,-60
117,7936,10518,189,666666,76118,622,12925,2334,119,166712,285180,6129,10530348,1981356,30766,321954,61372,4688,10,-79
118,6172,12260,237,511318,92626,827,11686,2397,164,110083,205098,4311,6872773,1342979,21405,223660,42041,3018,0,-70
119,6816,16741,290,604732,122283,1070,15058,2856,213,140062,197285,4206,9087173,1291240,20192,245349,44711,3108,10,-79
120,5189,9309,176,438684,66648,603,9332,1838,124,94992,171761,3486,6051628,945045,15933,180037,32894,2718,10,-79
121,3544,7702,139,309795,48128,458,6754,1332,103,66131,114004,2295,4257438,629181,10752,121492,22269,1682,0,-60
122,3992,9845,159,366088,62616,560,8374,1543,128,111578,124074,2400,7528493,794953,12902,166789,30572,2179,10,-79
123,4018,5791,102,356469,39957,373,6169,1226,85,76638,108592,2102,5101548,655992,11056,122070,23158,2141,10,-69
124,2843,4865,86,262231,32706,315,4562,933,81,54449,72343,1383,3647748,436247,7040,83907,15837,1312,0,-60
125,3249,6236,99,312798,45148,379,5717,1091,103,103662,82330,1490,7157560,544929,7867,136925,24290,1737,10,-69
126,3690,3816,64,335764,27712,229,4957,963,69,71520,72045,1410,4884782,508014,7451,100159,19023,1279,10,-69
127,2648,3226,55,251322,24934,210,3734,767,52,50331,48182,950,3437822,342332,4846,68993,13174,819,0,-60
128,3010,4146,70,297600,34945,260,4688,906,65,100601,58139,1037,7034039,425346,5746,125117,21342,756,10,-69
129,3573,2671,47,328923,21605,172,4477,842,34,69465,50681,983,4812841,395307,5698,91302,16399,693,10,-69
130,2572,2269,43,247706,19404,162,3402,662,30,48659,34429,667,3365996,268014,3722,63293,11556,451,0,-60
131,2919,2934,53,292469,27267,198,4283,788,39,99827,44983,787,6992071,344932,4622,120768,19740,495,10,-69
132,3539,2039,37,326603,17412,137,4299,777,23,68887,38539,741,4788174,318122,4683,88209,15108,464,10,-69
133,2550,1728,34,246469,15623,133,3282,609,20,48098,25846,486,3341565,216006,3038,60911,10259,312,0,-60
134,2887,2218,41,290720,21958,163,4130,715,27,99616,36148,555,6977642,289548,3799,118787,18509,374,0,-60
135,4850,2824,46,430778,27342,197,6399,1072,34,133450,88133,1819,9087823,817070,11628,190106,33204,1756,10,-69
136,4803,3738,70,434562,37646,311,6774,1283,60,88982,65195,1383,6000128,617838,9073,131833,23690,1234,0,-60
137,5379,5223,93,522696,56875,431,8784,1572,87,123992,67689,1322,8517992,621405,8658,168966,28319,1056,10,-69
138,4539,3150,58,409194,32182,255,6279,1149,44,83775,58787,1257,5674244,555845,8011,123372,21956,940,0,-60
139,5085,4528,85,494299,49746,367,8182,1439,65,121912,75204,1539,8361190,713024,10150,169815,29728,1712,0,-60
140,6778,5876,110,575238,60844,482,10582,1887,99,152511,166577,4044,9945550,1728032,26146,270221,52895,4208,10,-69
141,5604,7121,159,480851,79765,697,9778,2058,148,101074,123516,2893,6504079,1193401,18661,189160,36498,2718,10,-79
142,3772,5590,116,332692,60568,533,7094,1480,107,69443,78994,1804,4514772,750288,11447,125042,23722,1657,10,-79
143,2590,3677,74,233425,39107,338,4748,974,67,50838,52855,1183,3361892,508472,7483,86582,16422,1056,0,-60
144,3002,4617,88,284177,51739,403,5918,1133,83,101837,69271,1457,7001799,694297,10066,140111,25655,1769,0,-60
145,4985,5645,108,430783,60405,499,8200,1561,113,136838,171233,4190,9120129,1715634,27082,225496,47938,4203,0,-60
146,7205,10591,215,626283,110721,1003,12708,2639,217,160121,285417,6569,10350261,2306179,39310,311586,65443,6354,10,-79
147,5884,12278,254,500689,110269,1076,11331,2574,230,105601,202967,4535,6735812,1527287,26907,216139,44681,4600,0,-70
148,6503,16662,309,592285,140717,1362,14566,3049,313,136913,196890,4401,8991576,1529731,26145,240098,47987,4783,10,-79
149,5059,9285,186,433748,78435,775,9116,1973,183,92489,171451,3565,5976439,1085345,19911,176435,34754,3710,0,-70
150,5645,13266,231,521461,100976,999,11788,2365,249,129036,202290,4291,8558160,1232945,22702,217372,42111,4244,0,-70
151,7322,16521,287,595300,110071,1180,14390,2858,298,161229,432356,8822,10103184,2041390,42597,344543,67552,8342,0,-70
152,9383,28247,485,741989,153039,1831,20676,4135,474,187692,742592,14250,11052198,2520288,61648,493553,92482,13251,10,-79
153,6983,32006,548,538702,123209,1710,18013,3678,468,124706,534552,10174,7214669,1668354,42519,343994,63451,9251,0,-80
154,7721,43567,672,635413,154725,2161,23209,4358,629,152114,497054,9518,9344979,1706498,40044,344377,64185,8353,0,-90
155,9222,43306,726,676481,158525,2308,25553,4776,670,195003,1238632,21933,10961404,2404906,70492,563296,98758,17088,10,-99
156,7220,52665,836,531036,117948,1975,20725,3964,605,129551,856931,15184,7163230,1605533,49963,401474,68840,12146,0,-90
157,7982,67097,1003,628902,148860,2521,26894,4716,816,155400,728929,13149,9326451,1595920,45203,394906,68472,10506,0,-90
158,9490,63483,1041,673942,151267,2663,29202,5152,862,192535,1368158,24580,10654407,2288457,77368,631938,103771,20678,0,-90
159,11649,88305,1485,799353,185953,3655,37854,6820,1239,225869,1755981,32602,11798466,2795853,115337,913288,145349,34320,10,-99
160,8448,77408,1277,574693,137998,3229,33235,5813,1212,148566,1158563,21572,7645675,1842435,79494,609203,98996,23938,10,-99
161,5569,53489,874,389854,95043,2289,23014,4036,885,98271,723668,13591,5185233,1184484,49200,379201,62216,14599,0,-90
162,6085,61243,975,451439,114254,2674,27359,4485,1075,137609,766075,14062,8140698,1514783,46977,370710,64148,13320,10,-99
163,5048,35522,580,388793,75246,1409,14513,2673,528,93958,584426,10602,5471514,1076247,35119,275431,46398,10475,0,-90
164,5687,47010,705,474241,99163,1783,18594,3182,702,132294,604541,10790,8240107,1149412,34472,308490,50606,10456,0,-90
165,7445,49371,792,561883,105544,1956,21647,3629,794,172821,1294150,22448,9864143,1996508,62181,485686,80754,19778,10,-99
166,6334,55436,863,476443,95471,1740,17847,3215,709,114906,888561,15456,6461374,1353064,43883,344010,56e3,14172,10,-99
167,4285,40649,621,330490,69161,1259,12911,2275,525,77926,549573,9519,4490718,859301,27452,220540,35670,8878,10,-99
168,2906,25716,389,232211,44756,802,8403,1469,338,56371,354378,6088,3346950,583168,17501,144484,23562,5846,10,-79
169,2088,16525,251,174645,30092,514,5491,968,220,43744,232129,3964,2687746,403471,11454,98668,16256,3470,0,-70
170,2509,20524,284,222047,41386,611,6795,1124,266,97273,258179,4400,6481568,548098,12014,147996,24463,3629,0,-70
171,4567,23116,321,382889,49004,674,9e3,1518,286,139748,649576,11461,8807084,1525822,30197,240330,46524,8137,10,-79
172,4989,27785,434,419229,69976,816,8655,1801,290,93943,485305,8690,5836846,1077990,21913,168085,32520,6193,0,-70
173,5632,38835,551,506912,97117,1075,11226,2185,405,128970,441712,7775,8424814,998324,19534,199532,35684,5334,0,-80
174,7301,39303,596,582853,97884,1139,13422,2514,440,168325,1099436,18819,9964196,1907177,42234,321345,61736,11251,10,-89
175,6171,46858,714,481961,90696,1160,11710,2431,403,112473,776382,13329,6527025,1302193,30028,227682,43132,8036,10,-89
176,4192,35366,534,333775,66440,861,8531,1748,299,76468,480730,8190,4525356,823079,18815,148740,28084,4750,10,-89
177,2854,22479,336,233974,42896,552,5653,1153,183,55518,309812,5244,3366762,558240,12440,101190,19131,2869,0,-70
178,3292,27661,376,284689,56118,661,6984,1330,220,106748,344939,5874,7005717,757603,14247,151937,28191,2853,0,-70
179,5308,30691,426,431148,65444,757,9239,1765,232,149440,871312,14871,9124567,1760594,34466,245694,51379,7347,10,-79
180,5373,37219,563,436151,81614,930,8855,1994,259,100264,643583,11087,6019869,1213734,24353,171660,35585,5146,10,-89
181,3724,29150,438,308179,61646,700,6438,1445,189,69178,401375,6884,4227260,762785,15369,114353,23229,3072,10,-79
182,2575,18736,281,219037,39768,450,4332,952,121,51134,257944,4419,3194894,517476,9803,80223,16162,1885,10,-69
183,1889,12031,184,166391,26702,288,3020,659,77,40589,169505,2873,2599983,359556,6412,59554,11876,1169,0,-60
184,2303,14960,207,213952,36793,346,3909,796,91,91455,191549,3352,6185341,490913,8147,112439,20620,1650,0,-60
185,4262,16983,239,366897,44487,415,6067,1192,115,133681,480136,8739,8631588,1362123,22594,183746,39435,4372,10,-69
186,4763,20526,329,410382,62582,602,6537,1518,155,90120,358711,6393,5734087,983114,16791,127617,27829,3411,0,-70
187,5392,28697,413,497458,88307,810,8492,1852,223,126239,329869,5822,8363722,930478,15071,165897,32220,3061,10,-79
188,4615,15643,241,400995,48246,450,6153,1310,122,86265,284574,5064,5582778,734772,12440,121197,24314,2660,10,-69
189,3208,12786,205,286510,36995,354,4532,982,100,61055,188436,3293,3977088,495283,8024,84133,16751,1634,10,-69
190,2269,8708,138,206500,25479,236,3167,683,66,46231,121836,2108,3050329,335892,5226,61808,12133,1014,0,-60
191,2688,10802,153,255523,34798,281,4083,819,81,99354,138216,2269,6811565,464383,6557,119223,21279,1537,10,-69
192,3505,6430,98,316083,23248,194,4233,832,59,69338,120405,2040,4684825,421837,6283,86704,16374,1130,10,-69
193,2560,5391,84,241224,20747,178,3232,661,43,47851,79243,1347,3237547,282743,4092,59509,11280,706,0,-60
194,2882,6873,97,283282,28972,218,4052,779,56,99467,88098,1448,6918210,363892,5041,117949,19727,647,10,-69
195,3526,4102,63,322491,18387,149,4186,776,30,69078,76645,1308,4745759,336666,5055,86018,15138,584,0,-60
196,4070,5906,88,406991,29449,228,5578,984,44,94431,90549,1526,6504911,422128,6029,115695,19925,636,10,-69
197,3451,4119,66,316030,21017,174,4257,799,29,66328,73848,1290,4507672,362675,5449,86692,15253,529,0,-60
198,3953,5809,91,388078,32739,250,5646,1003,42,110968,87053,1446,7655058,458623,6358,139049,23028,644,0,-60
199,5800,7144,111,501239,41818,316,8009,1398,55,143464,195957,3856,9509953,1159292,17480,219926,40876,2339,0,-60
200,7906,12559,209,674384,76209,644,12403,2291,116,167278,340633,6902,10606671,1988470,31070,304162,60390,4562,0,0
1,0,9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-19
2,0,924,0,0,0,6,0,0,0,1632,94797,1333,310,1390,251,0,5,1,0,-10
3,56,4504,50,17,62,16,0,0,6,2760,162548,2315,525,2375,454,1,6,2,0,-10
4,123,9786,112,41,157,27,0,0,6,3414,202956,2857,693,2999,557,1,11,4,0,-10
5,180,14669,165,67,246,37,0,6,5,5456,324525,4874,2542,7007,957,32,41,7,0,-10
6,280,22678,268,167,480,58,6,12,5,9766,562734,8437,8556,15614,2236,109,130,22,0,-10
7,479,37728,452,516,1037,104,13,20,11,16090,909690,13689,17127,28179,3550,226,264,38,0,-30
8,799,58105,749,1199,2005,164,21,29,21,25730,1443947,21922,39229,50869,6692,559,500,79,10,-59
9,923,62313,836,1827,2385,184,20,22,6,17577,976450,14935,34713,38363,4317,505,389,54,0,-50
10,1057,76526,1e3,3259,3629,229,33,30,12,15808,851928,13182,48520,40153,4054,698,466,61,0,-50
11,1098,72641,1042,4494,4222,242,47,38,17,30121,1425244,22753,303230,131225,8965,5039,2300,228,0,-50
12,1620,95248,1421,16616,8647,385,201,111,27,42737,1764263,29524,665447,245821,13654,10683,4511,444,0,-50
13,2316,121294,1884,43918,17279,600,484,232,42,55091,1973485,34714,1177384,377567,18972,19014,7181,1297,0,-60
14,3125,142936,2365,83183,29292,870,937,400,83,90546,2121348,39655,3353082,676691,28251,53862,15853,2081,0,-70
15,4732,157853,2808,192686,50154,1273,2355,806,134,151406,2434519,49206,7011727,1268307,44322,114494,31486,3884,10,-89
16,5402,109945,1986,324239,59417,1230,3933,1195,139,102908,1595202,32973,4802781,933800,31340,79919,22326,2542,0,-80
17,6148,125502,2292,410278,83783,1576,5209,1474,182,125652,1467865,29236,6649772,940472,28624,109025,26183,2694,10,-89
18,4657,68488,1234,322366,48252,857,4002,1063,107,87155,1002373,20089,4594211,742278,22194,82672,20122,2478,0,-80
19,5264,80303,1417,395621,67659,1106,5343,1324,157,130429,998917,19140,7709509,898502,23822,135285,28930,2737,10,-89
20,4741,46325,796,366751,44979,700,4869,1150,105,89578,721207,13766,5204494,717138,18841,98219,21729,2511,10,-89
21,3331,33073,551,267451,35911,538,3659,875,94,62968,462684,8680,3753350,476430,12258,69864,15126,1531,10,-89
22,2342,21541,354,195318,24554,358,2621,617,61,47619,298443,5471,2921496,323225,7618,53031,11105,947,0,-60
23,2773,26590,394,243627,33499,418,3438,746,74,101657,327044,5676,6737543,451842,8670,113045,20550,903,0,-60
24,4857,29572,431,402708,41261,471,5793,1160,79,144686,830072,14030,8954846,1258423,23719,178281,38481,3251,0,-60
25,7387,50523,753,606698,80221,901,9590,2059,159,177161,1423900,24011,10243183,2052295,40248,238882,55234,5756,0,-80
26,9851,85016,1286,746594,138793,1599,14009,3175,302,201300,1769747,30318,11034392,2516224,53224,323025,71101,7293,10,-89
27,7473,77667,1186,538076,121832,1477,11818,2821,262,131967,1163987,20164,7157806,1654027,36357,225798,48546,5177,10,-89
28,4944,53706,810,365521,85081,1047,8481,1976,194,88579,729352,12529,4910990,1064812,23036,148658,31663,3150,0,-80
29,5448,61560,900,425807,103161,1236,10383,2240,238,131093,769470,13225,7938048,1357521,26420,188584,40356,3543,0,-80
30,7283,62310,987,529622,115901,1407,12515,2718,266,171557,1391363,24003,9737171,2118031,50044,309491,65693,7873,0,-80
31,9671,89015,1430,696607,159788,2164,18268,3975,434,200244,1753237,31435,10830246,2564046,71678,442988,88791,12414,10,-89
32,7422,77378,1234,526219,125766,1996,16145,3531,438,131614,1153806,20809,7031994,1680820,48662,306699,60299,8751,10,-89
33,4928,53291,839,359253,86690,1403,11530,2458,325,88230,721531,13112,4824233,1081500,30626,197032,38841,5215,10,-89
34,3298,33741,530,248895,56258,897,7503,1594,200,62703,467702,8344,3546683,737695,19678,130638,26040,3179,10,-89
35,2329,21785,341,184917,38026,577,4956,1067,124,47465,305839,5386,2803060,507727,12961,90189,17862,1961,0,-70
36,2756,27057,382,232664,51187,687,6168,1239,151,101935,336370,5838,6672792,676442,13761,142755,26779,2305,0,-70
37,4856,30136,429,395442,59393,761,8442,1665,172,144899,847629,14653,8920701,1712653,34327,230001,49594,5798,10,-79
38,5183,36246,555,425070,78943,926,8269,1922,205,97477,629867,10928,5902440,1185833,24314,160746,34572,4248,10,-89
39,3618,28512,432,302212,60155,697,6029,1402,157,67471,393451,6790,4159601,743863,15331,107441,22571,2536,0,-70
40,4070,35217,483,357460,74771,826,7434,1595,191,114074,403042,7025,7459142,934672,17309,155633,31172,2807,0,-70
41,5969,35927,524,480488,82634,929,9630,2025,211,157861,1068865,18269,9397929,1868206,38411,253069,55123,6782,0,-80
42,8463,63025,955,659982,129840,1560,14543,3180,362,187610,1563205,26862,10534049,2411208,56655,355180,75113,10470,0,-80
43,10837,97055,1505,784291,182990,2441,21168,4576,592,210813,1848848,32341,11232161,2729380,73133,480691,95569,14541,10,-99
