,V1,pop_1,pop_2,pop_3,pop_4,pop_5,pop_6,pop_7,pop_8,pop_9,sbank_1,sbank_2,sbank_3,sbank_4,sbank_5,sbank_6,sbank_7,sbank_8,sbank_9,actions,rewards,policy
965,166,21816,198605.0,4870.0,1066845.0,374512.0,30624.0,83370.0,25968.0,76526,350781.0,2811713.0,80560.0,13236585.0,4326402.0,877493.0,1387545.0,502386.0,1411353.0,10,-99,0.0
966,167,13487,128429.0,3276.0,654870.0,221121.0,24763.0,52628.0,20292.0,51873,227331.0,1814088.0,53306.0,8475896.0,2780408.0,587678.0,901659.0,334886.0,918283.0,0,-90,0.0
967,168,14549,143554.0,3736.0,755355.0,262233.0,30561.0,61210.0,23523.0,61992,235014.0,1711190.0,46847.0,10509939.0,3018630.0,473455.0,785015.0,280099.0,746287.0,10,-99,0.0
968,169,8975,79521.0,1974.0,509031.0,152899.0,14524.0,30883.0,12015.0,29237,154589.0,1149098.0,31632.0,6904005.0,1988657.0,339783.0,539852.0,194191.0,524773.0,10,-99,0.0
969,170,5810,53245.0,1281.0,352409.0,102855.0,9835.0,20507.0,7969.0,19580,102243.0,732332.0,19765.0,4761421.0,1289537.0,212010.0,342654.0,121275.0,327963.0,0,-90,0.0
970,171,6344,61484.0,1415.0,412000.0,123393.0,11499.0,24551.0,8808.0,23854,139175.0,775853.0,18281.0,7844049.0,1635893.0,173639.0,343629.0,108669.0,276621.0,0,-90,0.0
971,172,8048,62633.0,1459.0,519941.0,138703.0,11275.0,26309.0,8907.0,23841,178054.0,1398445.0,30171.0,9648422.0,2290884.0,281644.0,573878.0,162066.0,530418.0,0,-90,0.0
972,173,10330,89447.0,1935.0,688368.0,180286.0,14374.0,34595.0,11199.0,31999,205879.0,1767498.0,39457.0,10773346.0,2698525.0,421657.0,855541.0,228464.0,857057.0,10,-99,0.0
973,174,7674,77980.0,1561.0,523176.0,133376.0,11912.0,31086.0,9190.0,30354,135234.0,1163437.0,26332.0,6995890.0,1763793.0,291033.0,574129.0,155818.0,584595.0,10,-99,0.0
974,175,5066,53735.0,1068.0,357444.0,91109.0,8380.0,21672.0,6350.0,21636,90378.0,727852.0,16422.0,4802369.0,1137082.0,178377.0,358271.0,96736.0,357021.0,10,-99,0.0
975,176,3379,34036.0,666.0,247809.0,59138.0,5223.0,13706.0,3988.0,13489,64130.0,472072.0,10385.0,3534317.0,775819.0,109220.0,228254.0,60677.0,219381.0,0,-90,0.0
976,177,3844,41591.0,742.0,299768.0,75098.0,6010.0,16363.0,4404.0,16187,113592.0,519048.0,10406.0,7108251.0,1025867.0,91228.0,253227.0,60747.0,187937.0,10,-99,0.0
977,178,4067,24231.0,431.0,332665.0,50932.0,2808.0,9695.0,2544.0,7459,79486.0,440587.0,8555.0,4858860.0,790710.0,68304.0,187094.0,44506.0,146310.0,0,-80,0.0
978,179,4693,34378.0,549.0,417291.0,71802.0,3511.0,12523.0,3043.0,9837,107481.0,478012.0,8883.0,6849417.0,873983.0,63903.0,212281.0,47018.0,140293.0,10,-99,0.0
979,180,3935,22026.0,367.0,331382.0,44331.0,1910.0,8037.0,1938.0,5382,75671.0,391415.0,7291.0,4709395.0,702877.0,47531.0,156090.0,34950.0,104676.0,0,-80,0.0
