bio10_5,bio10_prMay,lat,lon,lambda,N
-0.891178729,-1.821087793,2997880.134,2108535.591,0.795127645,0
-1.571107864,-0.848510212,2994880.134,2003535.591,0.781714357,0
-1.339641685,-1.524844803,2994880.134,2006535.591,0.781793035,0
-1.220246317,-1.067146317,2994880.134,2009535.591,0.781726507,0
-1.526541562,0.138297981,2994880.134,2012535.591,0.781714287,0
-1.430141473,-1.012906266,2994880.134,2015535.591,0.781715246,0
-1.226929042,-1.580997747,2994880.134,2018535.591,0.782006625,0
-0.888317013,-1.81942404,2994880.134,2057535.591,0.798522081,0
-1.194605097,-0.445664337,2994880.134,2060535.591,0.781714505,0
-1.176215901,-0.84973499,2994880.134,2063535.591,0.781718448,0
-1.220095123,-0.769480882,2994880.134,2066535.591,0.781715905,0
-1.237287348,-1.075747127,2994880.134,2069535.591,0.781725034,0
-1.083329306,-1.753850767,2994880.134,2072535.591,0.784543719,0
-0.961736714,-1.808698123,2994880.134,2075535.591,0.79097832,0
-0.962302085,-1.579976472,2994880.134,2078535.591,0.784445282,0
-0.993615344,-1.234233715,2994880.134,2081535.591,0.782018609,0
-0.947431312,-1.678517107,2994880.134,2084535.591,0.787224329,0
-0.965171238,-1.460434028,2994880.134,2087535.591,0.783243235,0
-1.022822954,-1.535139526,2994880.134,2090535.591,0.783060596,0
-1.105110383,-1.148977485,2994880.134,2093535.591,0.78177387,0
-1.064097768,-1.445532623,2994880.134,2096535.591,0.782280819,0
-1.108671584,-1.050590475,2994880.134,2099535.591,0.781746045,0
-1.267740525,-0.481099914,2994880.134,2102535.591,0.781714416,0
-1.127396156,-1.155420325,2994880.134,2105535.591,0.781769742,0
-1.002974264,-1.501447346,2994880.134,2108535.591,0.783246526,0
-0.871237446,-1.696340208,2994880.134,2111535.591,0.792096155,0
-0.877093262,-1.298847576,2994880.134,2114535.591,0.782843757,0
-1.741714054,0.255000139,2991880.134,2000535.591,0.781714286,0
-1.489676179,-1.087028395,2991880.134,2003535.591,0.781715201,0
-1.13128529,-1.997987805,2991880.134,2006535.591,0.788234472,0
-1.29189666,-0.654785677,2991880.134,2009535.591,0.781714621,0
-1.478514111,0.037212271,2991880.134,2012535.591,0.781714288,0
-1.411676456,-0.672328865,2991880.134,2015535.591,0.781714406,0
-1.567962277,-0.264818601,2991880.134,2018535.591,0.781714289,0
-0.917932468,-1.702621187,2991880.134,2048535.591,0.78910635,0
-0.947701186,-1.533665572,2991880.134,2051535.591,0.784618552,0
-0.915900197,-1.957126278,2991880.134,2054535.591,0.80431284,0
-0.993560275,-1.813972751,2991880.134,2057535.591,0.789014193,0
-0.956666339,-1.667336005,2991880.134,2060535.591,0.786401138,0
-1.12646387,-0.951042857,2991880.134,2063535.591,0.781728266,0
-1.200555039,-0.905821117,2991880.134,2066535.591,0.781719237,0
-1.13841774,-1.544860183,2991880.134,2069535.591,0.782250632,0
-0.95703866,-2.091627382,2991880.134,2072535.591,0.812896433,0
-0.916299018,-1.936264218,2991880.134,2075535.591,0.803401027,0
-0.969561774,-1.296067578,2991880.134,2078535.591,0.782236047,0
-0.921127307,-1.707622365,2991880.134,2081535.591,0.789084242,0
-0.983510093,-1.182531126,2991880.134,2084535.591,0.781958686,0
-1.276116201,-0.123503299,2991880.134,2087535.591,0.781714299,0
-1.214820122,-0.951668968,2991880.134,2090535.591,0.781719793,0
-1.040844055,-1.535629553,2991880.134,2093535.591,0.782919005,0
-1.104369008,-0.950060348,2991880.134,2096535.591,0.781731245,0
-1.283236977,0.02198544,2991880.134,2099535.591,0.781714292,0
