idstate,idaction,qvalue
239,1,981.7352011299826
240,0,993.4527301281238
240,1,992.7681212167661
241,0,990.217512712801
241,1,991.551814916018
242,0,976.8030726391805
242,1,974.8043662984531
243,0,992.4728652531824
243,1,993.806158754209
244,0,976.9558565434619
244,1,979.4068108135933
245,0,977.6542698534855
245,1,974.276986939754
246,0,984.7057995147662
246,1,983.2470346702298
247,0,981.9884021972241
247,1,976.5529982810001
248,0,989.8788794190755
248,1,989.229868947417
249,0,981.1320891866669
249,1,978.770297938542
250,0,983.7721765154823
250,1,981.6919986697308
251,0,991.9710122273063
251,1,992.0455473276369
252,0,983.2516357968716
252,1,980.5764011301541
253,0,982.9564254482143
253,1,982.7010549488366
254,0,980.9538083114996
254,1,979.4506283714995
255,0,984.3674298868848
255,1,982.2448606914288
256,0,991.824775970422
256,1,991.6754432998587
257,0,980.8199544072855
257,1,979.1553414995711
258,0,995.7881576983793
258,1,996.0011878121379
259,0,992.2835179085533
259,1,991.7881092451623
260,0,980.0768552593883
260,1,983.6498573968836
261,0,987.0103798724994
261,1,987.7204797126072
262,0,983.4538440789909
262,1,979.2932934579809
263,0,974.3386692944565
263,1,975.0506777946198
264,0,986.3083300334447
264,1,985.3902696657361
265,0,985.5758147010894
265,1,989.3450861683152
266,0,973.7444450280705
266,1,972.8571025312345
267,0,988.0177074410572
267,1,988.9264903546512
268,0,990.1169851113021
268,1,988.8352519174715
269,0,987.4638495735411
269,1,990.2409479888073
270,0,995.1899218183518
270,1,994.3788456004006
271,0,988.051090256595
271,1,983.3369790069362
272,0,977.5885681212104
272,1,979.5501478656807
273,0,989.525455840514
273,1,989.5433148439383
274,0,986.9430558538312
274,1,984.9005400177607
275,0,980.0273240852779
275,1,977.6086506727229
276,0,980.7976584967621
276,1,979.2308483650378
277,0,989.6947329308131
277,1,989.7038013173844
278,0,989.9416346106315
278,1,992.8434802269104
279,0,982.3765125484507
279,1,980.5334846465921
280,0,990.2629436930705
280,1,988.8148196584804
281,0,982.8114508334361
281,1,981.6281071644639
282,0,985.1180538475612
282,1,982.4445582603006
283,0,984.1835053551345
283,1,986.6643037444239
284,0,966.6969130046107
284,1,996.8871205131434
285,0,980.1528131729584
285,1,981.2961664723066
286,0,987.6362138274801
286,1,985.4094816757793
287,0,983.3179043095475
287,1,984.8972340612644
288,0,982.992229144312
288,1,982.713770556978
289,0,971.078918111686
289,1,972.1213041610804
290,0,988.1926082701841
290,1,988.3233616063931
291,0,970.0622005130455
291,1,969.7124719880956
292,0,988.5322590637797
292,1,985.3332544412657
293,0,982.1691129183474
293,1,983.9733734445961
294,0,988.8169868526318
294,1,986.671315549398
295,0,985.7897919137096
295,1,987.3027032747282
296,0,981.2745333852331
296,1,981.4691016023156
297,0,994.604533051836
297,1,994.2987095986496
298,0,984.1132653767531
298,1,985.8023098206892
299,0,988.9159921642782
299,1,991.3885025364584
300,0,988.5481754374091
300,1,992.799244632696
301,0,953.9580739071599
301,1,952.2781574051919
302,0,987.3858148263421
302,1,987.5009350257176
303,0,979.3666385334876
303,1,981.1441087723716
304,0,991.2770788103028
304,1,992.9979668348712
305,0,985.3109503602209
305,1,983.5578841852235
306,0,980.6020777918442
306,1,982.4445529728549
307,0,978.0715031447776
307,1,978.0538532293896
308,0,978.3648059050751
308,1,980.6165221200695
309,0,988.1166614707711
309,1,989.5374865508339
310,0,982.878981684669
310,1,988.2944445014917
311,0,984.9409236710303
311,1,983.5337852675226
312,0,997.7652112855444
312,1,997.9811911591585
313,0,982.1904787048745
313,1,984.3092053581763
314,0,983.322702147088
314,1,983.7386288057284
315,0,992.4689458997982
315,1,988.497125025869
316,0,985.4466875289892
316,1,985.1334933671835
317,0,986.1478042313215
317,1,986.1743888588335
318,0,983.6310339040181
318,1,983.8025606666318
319,0,980.1505115145518
319,1,982.9490153206434
320,0,987.4682972576138
320,1,986.9979275395062
321,0,985.4398599212414
321,1,987.0287479348704
322,0,986.517478988803
322,1,984.387936183188
323,0,976.9954964235477
323,1,979.5324082848658
324,0,980.0406694700497
324,1,980.7392946105582
325,0,991.1163849442537
325,1,992.6039056995628
326,0,988.6291440625622
326,1,985.108871380288
327,0,976.3823865602316
327,1,985.524234030026
328,0,907.507590134038
328,1,922.3481090283483
329,0,990.2521785454315
329,1,989.6438188430762
330,0,992.6953110744273
330,1,994.3864870071511
331,0,984.0249517690779
331,1,984.6275889675405
332,0,986.6726112788424
332,1,989.3733164434763
333,0,980.6252820124747
333,1,980.7888182819069
334,0,976.7655723598417
334,1,975.8385808010871
335,0,986.9366935347748
335,1,985.7979739989247
336,0,984.0243030429795
336,1,987.4638873596309
337,0,979.5656516159231
337,1,975.987198090031
338,0,995.4095181154821
338,1,995.0739308875935
339,0,988.0025945626091
339,1,991.3590601623393
340,0,986.4300963988378
340,1,984.7965786102532
341,0,988.6300264088
341,1,989.0560859593278
342,0,973.8352579074129
342,1,975.3546860606134
343,0,983.4356152994404
343,1,978.121508131127
344,0,984.5915981517968
344,1,983.0227436342991
345,0,983.3266682730109
345,1,981.7232459341637
346,0,982.5477661638997
346,1,979.8312779683325
347,0,987.5980932448153
347,1,985.2104518658468
348,0,987.9951612027003
348,1,987.1272292599629
349,0,976.6673789669085
349,1,976.6725015544143
350,0,992.9946311179954
350,1,993.1219403681193
351,0,989.5410178416199
351,1,989.026803039477
352,0,970.5852083819624
352,1,969.7006007861108
353,0,980.9318721572453
353,1,976.9465334101584
354,0,988.8568364792463
354,1,988.3288149599067
355,0,990.1255722738186
355,1,991.0251339081526
356,0,932.0824985542538
356,1,988.1191140523657
357,0,984.8693134599516
357,1,984.3385474559846
358,0,985.8226591934282
358,1,987.0440504296316
359,0,985.2998807416302
359,1,986.1039317171858
360,0,978.911532826521
360,1,980.1508188916216
361,0,987.8111003738838
361,1,986.788912563927
362,0,986.4130046008742
362,1,985.9810985655021
363,0,972.9705059691992
363,1,971.6023334567941
364,0,993.3144207698108
364,1,991.2384360659887
365,0,979.2487393669526
365,1,980.3294592719237
366,0,983.9440118470397
366,1,980.9206887433929
367,0,982.6856318312407
367,1,982.8333715773235
368,0,990.3816724039431
368,1,988.5403382129741
369,0,986.6810852201281
369,1,984.8814608737238
370,0,984.1199271891903
370,1,990.3554300516166
371,0,977.259914551132
371,1,979.1567481219795
372,0,724.5690562082939
372,1,723.8444004532289
373,0,986.6713030051687
373,1,992.6281786315437
374,0,985.5060454938615
374,1,989.4335839290217
375,0,983.220630075276
375,1,980.5526546534046
376,0,987.1896807400877
376,1,983.8619237020507
377,0,985.1257146666632
377,1,983.8600938042264
378,0,985.0002500629367
378,1,985.2731904972163
379,0,992.611177033658
379,1,993.340460316206
380,0,979.613919953165
380,1,976.5548113286476
381,0,988.1303135865702
381,1,997.4380622495146
382,0,991.1767789984003
382,1,989.6686209565585
383,0,986.9881332656556
383,1,995.4171302244389
384,0,987.601148825057
384,1,984.9743169854921
385,0,990.30964346783
385,1,990.0816650051594
386,0,986.0529051503834
386,1,990.1216649293764
387,0,986.4922704108232
387,1,987.5730325534098
388,0,990.7914546400438
388,1,990.6547509965528
389,0,980.8642198162743
389,1,984.3848673647641
390,0,991.2073910399209
390,1,992.9424883804614
391,0,984.2044548697354
391,1,982.3474790381697
392,0,991.1226320887246
392,1,991.3210025445555
393,0,989.9272570810439
393,1,992.9644854987582
394,0,987.4083837500336
394,1,987.5415058656854
395,0,968.5372123619143
395,1,962.1278835957812
396,0,979.190647529756
396,1,978.3936862851299
397,0,987.8986869452806
397,1,984.8520369985555
398,0,987.1477283178003
398,1,986.9442657261396
399,0,974.5291899221564
399,1,972.7823552883343
400,0,981.0724455284584
400,1,984.391646572695
401,0,969.084916675007
401,1,968.7279586739979
402,0,986.2364666732033
402,1,984.9420731201989
403,0,990.2803256684833
403,1,989.3129694396895
404,0,980.7765080879774
404,1,979.0975167593135
405,0,990.7744134509651
405,1,992.2282708940692
406,0,981.2039811240128
406,1,980.3295776772313
407,0,985.6805114147807
407,1,986.6467962212063
408,0,986.8530296377322
408,1,985.8770756851666
409,0,983.7467997862407
409,1,984.9461347427228
410,0,991.24194343597
410,1,991.4469138395493
411,0,989.4236069079791
411,1,989.4221740744516
412,0,977.0914587654222
412,1,978.454852733653
413,0,982.6391131469406
413,1,986.999282843904
414,0,979.5059332034338
414,1,974.9076731601751
415,0,986.8790226514466
415,1,984.8487486367993
416,0,995.224805550034
416,1,994.2358447873928
417,0,977.0107702170873
417,1,978.5778128951661
418,0,985.0443852561436
418,1,982.5238770388752
419,0,983.8865098096464
419,1,983.9525181163622
420,0,988.6645615258003
420,1,989.8979716814101
421,0,988.4802079685676
421,1,987.133678665345
422,0,987.9559118421669
422,1,991.2121031663146
423,0,982.4540747705055
423,1,980.2488367174816
424,0,982.9493449441694
424,1,979.449047032621
425,0,981.7455890642917
425,1,983.0969212894847
426,0,966.5699355295957
426,1,967.1614343150567
427,0,980.7230727945296
427,1,978.8177357340026
428,0,948.0081332331667
428,1,972.1416876312953
429,0,992.0814658692708
429,1,988.8537635470494
430,0,973.9117213672369
430,1,977.4378995897486
431,0,989.8700026351281
431,1,993.1032383928981
432,0,981.1568507400902
432,1,977.3657496542212
433,0,992.8306098217461
433,1,991.173849564114
434,0,985.7780556954051
434,1,987.3570498501607
435,0,984.7081885498039
435,1,977.6077592972165
436,0,977.220143665868
436,1,974.6298022847915
437,0,985.4883015977094
437,1,988.4145466294641
438,0,990.3262546916009
438,1,992.910069009787
439,0,988.0697671699788
439,1,988.2298377503031
440,0,987.0784152574424
440,1,989.8248548696592
441,0,987.6786374546892
441,1,989.8381962983856
442,0,985.2574437635375
442,1,982.7307677922055
443,0,991.1257360868444
443,1,993.8940108559528
444,0,991.3941066127027
444,1,988.1267409595216
445,0,982.6601194838407
445,1,987.0457367643388
446,0,996.365589423055
446,1,997.7021000314434
447,0,988.6699100611136
447,1,987.9534589255483
448,0,981.0630228427043
448,1,978.4254498012989
449,0,981.077380715777
449,1,981.6151664193168
450,0,988.8961094275764
450,1,991.9551617155316
451,0,987.0200327210863
451,1,985.2673631092239
452,0,984.1993142061677
452,1,988.521656343205
453,0,981.339681657395
453,1,981.0950950117068
454,0,989.3687937472913
454,1,988.9295895536693
455,0,979.8085215459203
455,1,979.630817201325
456,0,979.235876393867
456,1,974.0246140542215
457,0,978.4099023510132
457,1,979.7207652478533
458,0,989.7893654079987
458,1,992.4904235259916
459,0,955.1274501361205
459,1,983.3521626207126
460,0,992.0741812546472
460,1,991.1864649953751
461,0,979.4245472892951
461,1,982.5290028369423
462,0,975.8045595405607
462,1,978.249203600612
463,0,985.1905873358477
463,1,987.0247727607026
464,0,987.0672144335406
464,1,986.033977287831
465,0,987.6489995786626
465,1,989.154853964568
466,0,990.910339128136
466,1,991.4972816131592
467,0,921.8752480557407
467,1,977.1487246698945
468,0,989.7506098885133
468,1,988.3057840530012
469,0,990.8730847934431
469,1,990.8323995610712
470,0,983.6180346989948
470,1,981.209414678234
471,0,989.9957108217837
471,1,986.6880856499997
472,0,983.3900436369637
472,1,984.429114530176
473,0,979.2156903376692
473,1,977.1148162425695
474,0,789.4682880894957
474,1,777.1956661671379
475,0,980.1540686936847
475,1,984.3863447038229
476,0,992.5514578672495
476,1,994.1562516391467
477,0,992.9449942375009
477,1,992.5629384505577
478,0,977.2192592518167
478,1,985.7583557892559
479,0,984.131375014807
479,1,981.9574100521102
480,0,984.2834808756035
480,1,983.2855039010633
481,0,989.8765360555066
481,1,991.24410731732
482,0,983.4089618348117
482,1,984.0400024628751
483,0,985.2156327971559
483,1,985.5685572412452
484,0,985.7589541654872
484,1,985.2674097194706
485,0,971.2716045342158
485,1,978.8047088190709
486,0,977.6475914800068
486,1,978.1300836744165
487,0,977.0566002512411
487,1,976.3684425264056
488,0,979.1326532636432
488,1,981.7717978514106
489,0,991.0553182001181
489,1,992.1820633847499
490,0,992.058449899624
490,1,989.5165691386474
491,0,986.0859233753905
491,1,983.1394198081492
492,0,987.7602981335709
492,1,985.4975427114499
493,0,992.0207418491053
493,1,991.8487818572451
494,0,990.1906510688187
494,1,988.4000116238811
495,0,989.4665166923342
495,1,987.2450912391981
496,0,985.191510269588
496,1,985.1979962172129
497,0,982.3409948027925
497,1,985.3718124876266
498,0,981.5110680310779
498,1,977.9402576990601
499,0,988.0659845756793
499,1,986.5429766524394
500,0,984.0180206522002
500,1,982.464966787421
501,0,980.9314823628226
501,1,979.8505835696278
502,0,986.0072922503487
502,1,990.9517515098145
503,0,987.2090062479336
503,1,989.7706157850909
504,0,991.0558323563521
504,1,988.4917923446154
505,0,986.8392753489602
505,1,986.01653492785465
506,0,984.7705965655009
506,1,984.0900910327683
507,0,989.9167866049632
507,1,991.657296550375
508,0,993.385672344572
508,1,991.8953431450353
509,0,983.4693462016528
509,1,982.5721393350962
510,0,993.1503864260467
510,1,997.210643544401
511,0,987.4946584639488
511,1,986.4253044558957
512,0,976.3542602847906
512,1,973.25700937749
513,0,983.03431374234
513,1,987.8279848765526
514,0,986.733287406102
514,1,986.3353552200169
515,0,984.7016215172612
515,1,982.8896991016226
516,0,985.4407335566061
516,1,984.7691780651654
517,0,982.2122723280263
517,1,982.645169031427
518,0,995.7573396405132
518,1,995.3977761829741
519,0,991.2878517458072
519,1,989.3283150963892
520,0,967.5772908587503
520,1,971.0916339017234
521,0,771.044800187924
521,1,774.1893193068336
522,0,973.6709213507029
522,1,957.7629553332616
523,0,992.4168052664719
523,1,991.2553796378788
524,0,985.5689651657882
524,1,995.5185790903452
525,0,986.5778345897838
525,1,986.864951701057
526,0,987.599743308976
526,1,987.9850783347052
527,0,975.2569331917771
527,1,976.9497198797619
528,0,986.3329862445421
528,1,988.4731968754488
529,0,980.2692570065772
529,1,977.7713486464415
530,0,989.1598115418715
530,1,988.390922821814
531,0,971.695430930514
531,1,980.956179882762
532,0,830.337283262309
532,1,845.8930331733475
533,0,983.5705036133864
533,1,983.0625630280323
534,0,987.6599458330435
534,1,988.2335961544989
535,0,986.8566126839812
535,1,987.31395970918
536,0,988.124236746923
536,1,987.9277578995209
537,0,980.8752959599428
537,1,978.1638025084411
538,0,967.5520367589243
538,1,967.0689500156293
539,0,971.5920995833137
539,1,969.103630395656
540,0,992.0294073774617
540,1,991.70907454832
541,0,981.76465050260515
541,1,983.2449607522267
542,0,990.0708702569256
542,1,991.4266289901581
543,0,977.233062274876
543,1,978.2113652611819
544,0,993.1814871417317
544,1,992.0791256171017
545,0,990.6051897246455
545,1,990.8265397063036
546,0,985.0272567345354
546,1,986.344762427346
547,0,987.807076005792
547,1,987.5076831844168
548,0,985.9238036532018
548,1,984.3267555361656
549,0,989.5718659204475
549,1,990.7909206405075
550,0,985.850386324878
550,1,984.1177953907195
551,0,979.5029385560281
551,1,982.304880395259
552,0,986.4489406213776
552,1,988.0880218318441
553,0,980.9765839805748
553,1,981.4744865037123
554,0,970.4091139764281
554,1,969.8044884074118
555,0,988.2794711003961
555,1,987.8966612128324
556,0,989.8274991134956
556,1,988.3630915867355
557,0,991.5585142185886
557,1,991.7462333531689
558,0,984.8044030374285
558,1,987.1956205462978
559,0,992.433670944208
559,1,992.7493057050805
560,0,988.0317193642035
560,1,987.6512991024314
561,0,988.5457153986491
561,1,986.0440785810921
562,0,982.6610295799778
562,1,980.1282265151699
563,0,971.238481769108
563,1,971.0401141255481
564,0,990.3605521317049
564,1,990.3333269091602
565,0,985.1996065831048
565,1,984.6764237115905
566,0,992.3667963159387
566,1,991.4590800647723
567,0,985.6775039223251
567,1,983.5024551485296
568,0,990.3679484517057
568,1,990.4386443926958
569,0,984.5536710117694
569,1,987.361961290286
570,0,988.098262848563
570,1,991.3467972679248
571,0,975.8496619775308
571,1,978.6139972310814
572,0,980.8142926812868
572,1,977.6193694547167
573,0,907.0394921430527
573,1,927.1924111563853
574,0,980.9915511330836
574,1,976.183179296241
575,0,949.212629579606
575,1,936.706123239017
576,0,966.8333030059428
576,1,943.9073078301062
577,0,975.3994187933697
577,1,983.343237467751
578,0,987.2438326834676
578,1,990.3302217627025
579,0,986.3812233193105
579,1,986.1582525017039
580,0,977.8231707433015
580,1,980.1920884393533
581,0,993.4125245215713
581,1,991.6860330572467
582,0,993.1521788749569
582,1,992.7409165958674
583,0,986.9656978555369
583,1,986.2614130659822
584,0,984.0909257876576
584,1,983.0881190129433
585,0,986.0521451656635
585,1,985.6653453382858
586,0,993.4514962116037
586,1,992.1808618110148
